Year;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Temperatura ;lluvia;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.35;200;5;No;Si;No;No;No;Si;No;No;13.8730354;-89.105913;819;0;Si;Si;Si;Si;Si;No;21;78;0.374;0.572
1;Hombre;1;800;4;No;No;No;No;Si;Si;No;No;13.75545333;-88.19406833;920;0;Si;Si;Si;Si;Si;Si;25;136;0.11176;0.924
1;Mujer;0.09;100;4;No;No;No;No;Si;Si;No;No;13.809893;-88.254601;928;0;Si;Si;Si;Si;Si;Si;30;41;0.02376;0.11
1;Hombre;5;3000;4;No;Si;No;No;No;No;Si;No;13.6228;-89.2958;754;0;Si;Si;Si;Si;Si;No;26;66;1.5312;4.90512
1;Hombre;0.5;400;5;Si;Si;No;Si;No;No;No;Si;13.298781;-88.563582;25;0;Si;Si;Si;Si;No;Si;29;144;0.2552;1.59
1;Hombre;0.35;200;8;No;Si;No;No;No;No;Si;No;13.379;-88.512;212;0;Si;Si;Si;Si;Si;Si;21;93;0.2332;1.36
1;Hombre;4.2;3800;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;5.26;Si;Si;Si;Si;Si;No;23;122;0.99088;5.99
1;Mujer;1;900;5;No;No;No;No;Si;Si;No;No;13.7880068;-89.080402;654;0;Si;Si;Si;Si;Si;No;29;51;1.01552;2.29768
1;Hombre;1.2;1200;6;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;0;No;Si;Si;Si;No;No;27;1;1.22848;6.46712
1;Hombre;4.2;4000;5;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;0;Si;Si;No;Si;Si;Si;22;132;1.27424;8.09
1;Hombre;0.7;500;7;No;Si;No;No;No;Si;No;No;13.8087419;-89.146634;486;0;Si;Si;Si;Si;Si;No;30;29;0.8844;1.2892
1;Hombre;0.35;250;4;No;No;Si;No;No;Si;No;No;13.9889806;-89.806507;542;0;Si;Si;Si;Si;Si;No;23;145;0.17424;0.94336
1;Hombre;0.35;300;4;No;No;No;No;Si;Si;No;No;13.7826904;-89.075755;628;0;Si;Si;Si;Si;Si;No;29;63;0.44;0.5456
1;Hombre;2.8;1800;6;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;0;Si;Si;Si;Si;Si;No;25;59;0.858;1.4168
1;Hombre;0.35;300;4;No;Si;No;No;No;No;Si;No;13.7020587;-88.95346;670;0;Si;Si;No;Si;Si;Si;27;88;0.1584;1.22
1;Hombre;0.5;125;4;No;Si;No;No;No;No;No;No;13.4879242;-88.352487;849;0;No;Si;Si;Si;Si;Si;29;41;0.09592;0.45
