Sexo_productor;Area_Ha;Cantidad_plantas_patron;Cantidad_plantas_injerto;Edad_plantas_patron;Edad_plantas_injerto;Densidad_plantas_Ha;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_injertacion;Injertacion;Aplica_poda;Maneja_sombra;Fertilizacion_organica;Fertilizacion_quimica;Plagas_enfermedades;AT;Perdidas_qq;Produccion_qq
1;0.8;200.0;0.0;4.0;;250.00;0;1;0;0;0;0;0;0;13.3271388;-88.55634;54;0.00;0;1;1;1;1;0;1;0.34672;1.75
1;0.7;550.0;0.0;5.0;;785.71;1;1;0;0;0;0;1;0;13.4789131;-89.183204;25;0.00;0;;;;;;0;0.6336;1.1044
1;0.3;250.0;0.0;3.0;;833.33;0;0;0;0;1;1;0;0;13.6808831;-88.925614;595;0.00;0;1;1;1;1;1;1;0.11968;0.88
0;1;150.0;0.0;5.0;;150.00;0;1;0;0;0;0;0;0;13.6673144;-88.959564;480;0.00;0;1;1;1;1;1;1;0.1848;2.02
0;1;500.0;0.0;6.0;;500.00;1;1;0;0;0;0;1;0;13.44464;-89.199369;4;0.00;0;1;1;1;1;1;0;1.2408;1.7776
1;0.7;600.0;0.0;5.0;;857.14;0;0;0;0;1;1;0;0;13.7800295;-89.117737;613;0.00;0;1;1;1;1;1;0;0.88;0.946
0;2;1800.0;0.0;6.0;;900.00;1;1;0;0;0;1;0;0;13.7034896;-89.714855;215;0.00;0;1;1;1;1;1;0;3.18384;15.97816
0;2.5;2500.0;0.0;4.4;;1000.00;0;1;0;0;0;0;0;0;13.910696;-89.84621;747;0.00;0;;;;;;0;2.9744;13.31616
0;0.5;125.0;0.0;4.0;;250.00;0;0;0;0;0;1;0;0;13.54536333;-88.434485;502;0.00;0;1;1;0;1;1;1;0.396;2.3
1;0.15;60.0;0.0;5.0;;400.00;0;1;0;0;0;0;0;0;13.4659725;-88.286462;913;0.00;0;;;;;;1;0.0308;0.16
0;3;3000.0;0.0;11.0;;1000.00;1;0;0;0;0;0;0;0;13.717107;-89.662903;359;0.00;0;;;;;;1;12.79696;49.17
0;1;900.0;0.0;11.0;;900.00;0;0;0;0;0;1;0;0;13.925955;-88.643236;584;0.00;0;1;0;0;0;0;1;0.53944;3.52
0;0.18;200.0;0.0;5.0;;1111.11;0;0;0;0;1;1;0;0;13.788315;-88.239635;1095;0.00;0;1;0;1;1;1;1;0.1056;0.374
0;1.5;470.0;0.0;4.0;;313.33;1;0;0;0;0;1;0;0;13.836;-88.602277;585;0.00;0;1;1;1;1;1;1;0.57024;3.07912
0;0.3;135.0;15.0;3.4;3.0;500.00;0;0;0;0;1;1;0;0;13.754174;-88.2049;972;10.00;1;1;1;1;1;1;1;0.20328;0.726
0;7.35;0.0;8158.0;;6.7;1109.93;1;1;0;0;0;0;0;0;13.73114229;-89.4359705;491;100.00;1;1;1;1;1;1;1;29.8716;160.54192
0;10;6000.0;1500.0;5.0;3.0;750.00;0;0;0;0;0;1;1;0;13.7869;-89.5164;591;20.00;1;1;1;1;1;0;0;0.69344;3.4584
0;4.9;2500.0;0.0;6.0;;510.20;0;1;0;0;0;0;1;0;14.15520573;-89.6863274;1001;0.00;0;1;0;1;1;1;0;4.64552;13.25544
0;2.8;1600.0;400.0;5.0;3.0;714.29;0;1;0;0;0;1;0;0;13.928297;-89.812753;760;20.00;1;1;1;1;1;1;0;2.7324;13.3628
0;0.35;350.0;0.0;5.0;;1000.00;0;0;0;0;0;1;0;0;13.7880663;-89.350166;480;0.00;0;;;;;;0;1.012;2.244
0;2.5;450.0;0.0;6.0;;180.00;0;1;0;0;0;1;1;0;13.42902249;-88.5109981;459;0.00;0;1;1;1;0;1;1;0.12496;1.74
0;1;450.0;0.0;5.0;;450.00;0;1;0;0;0;0;0;0;13.3247456;-88.424122;70;0.00;0;;;;;;1;0.11352;1.44
0;0.5;165.0;0.0;4.7;;330.00;0;1;0;0;0;0;1;0;13.4943867;-88.404348;690;0.00;0;1;1;0;0;1;1;0.968;5.05
0;1.2;1200.0;0.0;5.5;;1000.00;0;1;0;0;0;0;1;0;13.687212;-88.962839;618;0.00;0;1;1;1;1;0;1;0.41184;2.61
0;0.3;250.0;0.0;5.0;;833.33;0;1;0;0;0;0;0;0;13.285;-88.2326;163;0.00;0;1;1;0;0;1;1;0.572;3.3
0;4.8;900.0;0.0;7.0;;187.50;0;1;0;0;0;0;0;0;13.5809892;-88.935497;547;0.00;0;0;1;0;1;1;1;0.242;2.9
1;0.3;250.0;0.0;5.0;;833.33;0;1;0;0;0;0;1;0;13.7832958;-88.949438;637;0.00;0;1;1;1;1;1;1;0.15488;1.12
0;2.1;1300.0;0.0;5.0;;619.05;0;1;0;0;0;0;0;0;13.616475;-89.14967;809;0.00;0;1;1;1;1;1;1;0.27368;7.01
0;1;510.0;0.0;6.0;;510.00;1;1;0;0;0;0;0;0;13.715614;-89.45728;731;0.00;0;1;0;1;1;1;1;0.18216;0.86416
0;0.4;300.0;0.0;5.0;;750.00;0;1;0;0;0;0;0;0;13.2842;-88.2431;225;0.00;0;1;1;0;0;1;1;0.34936;1.97
0;0.2;150.0;0.0;4.0;;750.00;0;1;0;0;0;0;1;0;13.5007183;-88.39713;629;0.00;0;1;1;0;0;1;1;0.8316;4.5
0;2;2200.0;0.0;12.0;;1100.00;1;0;0;0;0;1;1;0;13.7056;-89.685644;289;0.00;0;;;;;;0;8.89152;36.08
