Sexo productor;Area (Ha);total arboles;Total de injertos;Edad promedio plantas patron;Edad promedio plantas injerto;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Mujer;0.5;100;0;12;;12;No;Si;No;No;No;Si;Si;No;13.4272337;-88.506738;444;No;Si;No;Si;No;Si;Si;0.08272;1.01
Hombre;1.5;1600;0;9;;9;Si;No;No;No;No;No;No;No;13.730753;-89.667272;380;No;Si;Si;Si;No;No;Si;2.66112;11.37
Hombre;5.24;4437;1000;6;5;5.8;Si;No;No;Si;No;No;No;Si;13.3528614;-88.735018;16;Si;Si;Si;Si;Si;Si;No;1.81016;21.1
Hombre;0.35;250;0;6;;6;No;No;No;No;Si;Si;No;No;13.8970446;-88.964616;346;No;Si;Si;Si;Si;Si;No;0.8492;1.4564
Mujer;0.35;150;0;11;;11;No;Si;No;No;No;No;No;No;13.618069;-89.232421;790;No;Si;Si;Si;Si;Si;No;0.616;1.122
Mujer;1.4;1500;0;6;;6;No;Si;No;No;No;No;Si;No;13.6231117;-88.860226;847;No;No;Si;Si;Si;No;No;0.87296;5.41
Hombre;0.26;250;0;6;;6;No;No;No;No;No;Si;No;No;13.796305;-88.1678;734;No;Si;Si;Si;No;Si;Si;0.5544;1.666
Hombre;0.35;200;0;5;;5;No;Si;No;No;No;No;No;No;13.527995;-88.448691;569;No;Si;Si;No;Si;Si;Si;0.0352;0.165
Hombre;0.5;125;0;4;;4;No;Si;No;No;No;No;Si;No;13.4754002;-88.391273;647;No;No;No;No;No;Si;Si;0.63712;3.45
Hombre;0.7;400;0;9;;9;No;No;No;No;Si;Si;No;No;13.747739;-88.19778;847;No;Si;Si;Si;Si;Si;Si;0.10208;0.33
Hombre;2;600;0;5;;5;No;Si;No;No;No;No;No;No;13.468018;-88.879255;71;No;Si;Si;Si;Si;Si;Si;1.41856;8.55
Hombre;0.15;50;0;4;;4;No;Si;No;No;No;Si;No;No;13.5321235;-88.429579;537;No;Si;Si;No;Si;Si;Si;0.5808;3.2
Mujer;0.35;200;0;5;;5;No;Si;No;No;No;No;No;No;13.527761;-88.448281;573;No;Si;Si;No;Si;Si;Si;0.18568;1.0252
Hombre;0.4;400;0;8;;8;Si;No;No;Si;No;No;No;Si;13.280707;-88.749472;10;No;Si;Si;Si;Si;No;Si;0.63888;3.35
Hombre;2.5;1500;0;5;;5;No;Si;No;No;No;No;No;No;13.5196594;-88.821027;267;No;Si;Si;Si;Si;Si;Si;1.24256;10.85
Hombre;0.72;800;0;5;;5;No;No;No;No;Si;Si;No;No;13.34170833;-88.61497333;28;No;Si;Si;Si;No;No;Si;0.87296;4.49
Hombre;4;3325;625;5.8;5;5.7;Si;No;No;Si;No;No;No;Si;13.348937;-88.735581;10;Si;Si;Si;Si;Si;Si;No;1.1616;14.25
Mujer;0.35;400;0;5;;5;No;Si;No;No;No;No;Si;No;13.7071155;-88.933568;787;No;Si;Si;No;Si;No;Si;0.18744;1.32
Hombre;6;700;0;14.2;;14.2;No;Si;No;No;No;No;No;No;13.5438087;-88.870833;456;No;Si;Si;Si;Si;Si;Si;1.3332;9.4
Hombre;1.75;1700;0;4;;4;No;Si;No;No;No;Si;No;No;13.931565;-89.568684;857;No;Si;Si;Si;Si;Si;No;3.2516;9.29808
Hombre;2.5;2350;0;26.4;;26.4;No;Si;No;No;No;No;No;No;13.61681;-88.91105333;716;No;Si;Si;Si;Si;Si;Si;0.45672;17.23
Hombre;0.7;300;0;6;;6;No;Si;No;No;No;No;No;No;13.510797;-88.435995;685;No;Si;Si;Si;Si;Si;Si;0.06072;1.06
Hombre;0.09;100;0;5;;5;No;Si;No;No;No;No;No;No;13.3888924;-88.416754;209;No;Si;Si;No;No;Si;Si;0.5544;3.15
Hombre;1;250;150;6;4;5.3;No;Si;No;No;No;Si;Si;No;13.349751;-88.47627;135;Si;No;Si;Si;No;Si;Si;0.13024;1.7
