Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.35;200.0;8.0;No;Si;No;No;No;No;Si;No;13.379;-88.512;212;0.00;Si;Si;Si;Si;Si;Si;0.2332;1.36
1;Hombre;4.2;3800.0;4.9;No;Si;No;No;No;No;No;No;13.7744177;-89.17045;444;5.26;Si;Si;Si;Si;Si;No;0.99088;5.99
1;Mujer;1;900.0;5.0;No;No;No;No;Si;Si;No;No;13.7880068;-89.080402;654;0.00;Si;Si;Si;Si;Si;No;1.01552;2.29768
1;Hombre;1.2;1200.0;6.0;Si;No;Si;No;No;No;No;No;13.921778;-89.832917;8;0.00;No;Si;Si;Si;No;No;1.22848;6.46712
1;Hombre;4.2;4000.0;5.0;No;Si;No;No;No;No;No;No;13.725098;-89.031638;698;0.00;Si;Si;No;Si;Si;Si;1.27424;8.09
1;Hombre;0.7;500.0;7.0;No;Si;No;No;No;Si;No;No;13.8087419;-89.146634;486;0.00;Si;Si;Si;Si;Si;No;0.8844;1.2892
1;Hombre;0.35;250.0;4.0;No;No;Si;No;No;Si;No;No;13.9889806;-89.806507;542;0.00;Si;Si;Si;Si;Si;No;0.17424;0.94336
1;Hombre;0.35;300.0;4.0;No;No;No;No;Si;Si;No;No;13.7826904;-89.075755;628;0.00;Si;Si;Si;Si;Si;No;0.44;0.5456
1;Hombre;2.8;1800.0;6.0;No;No;No;No;No;Si;No;No;13.8880355;-88.957344;399;0.00;Si;Si;Si;Si;Si;No;0.858;1.4168
1;Hombre;0.35;300.0;4.0;No;Si;No;No;No;No;Si;No;13.7020587;-88.95346;670;0.00;Si;Si;No;Si;Si;Si;0.1584;1.22
1;Hombre;0.5;125.0;4.0;No;Si;No;No;No;No;No;No;13.4879242;-88.352487;849;0.00;No;Si;Si;Si;Si;Si;0.09592;0.45
1;Hombre;0.7;525.0;6.0;No;Si;No;No;No;No;Si;No;13.7682947;-89.683064;545;0.00;Si;No;Si;Si;No;No;1.09736;3.4892
1;Hombre;1;950.0;8.0;Si;No;No;No;No;Si;Si;No;13.694444;-89.658056;298;0.00;Si;Si;Si;Si;No;Si;0.9592;3.81
1;Hombre;2.5;200.0;5.0;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;0.00;Si;Si;Si;No;Si;Si;0.36168;1.95
1;Hombre;0.7;600.0;11.0;No;No;No;No;Si;Si;No;No;13.7615;-89.4332;469;0.00;Si;No;Si;Si;Si;No;0.98384;4.39296
1;Hombre;0.5;250.0;8.0;No;Si;No;No;No;No;No;No;13.4967631;-88.303741;714;0.00;Si;Si;Si;Si;Si;Si;0.09944;0.5
1;Hombre;4;2520.0;4.0;No;Si;No;No;No;No;No;No;13.58846444;-88.94097729;554;0.00;Si;Si;Si;Si;Si;Si;0.46112;4.48
1;Hombre;0.7;350.0;7.0;No;No;No;No;No;No;Si;No;13.768016;-89.623535;700;0.00;Si;No;Si;Si;No;No;0.89848;2.50096
1;Mujer;0.8;200.0;4.0;No;Si;No;No;No;No;No;No;13.3271388;-88.55634;54;0.00;Si;Si;Si;Si;No;Si;0.34672;1.75
1;Mujer;0.3;250.0;3.0;No;No;No;No;Si;Si;No;No;13.6808831;-88.925614;595;0.00;Si;Si;Si;Si;Si;Si;0.11968;0.88
1;Hombre;1;150.0;5.0;No;Si;No;No;No;No;No;No;13.6673144;-88.959564;480;0.00;Si;Si;Si;Si;Si;Si;0.1848;2.02
1;Hombre;1;500.0;6.0;Si;Si;No;No;No;No;Si;No;13.44464;-89.199369;4;0.00;Si;Si;Si;Si;Si;No;1.2408;1.7776
1;Mujer;0.7;600.0;5.0;No;No;No;No;Si;Si;No;No;13.7800295;-89.117737;613;0.00;Si;Si;Si;Si;Si;No;0.88;0.946
1;Hombre;2;1800.0;6.0;Si;Si;No;No;No;Si;No;No;13.7034896;-89.714855;215;0.00;Si;Si;Si;Si;Si;No;3.18384;15.97816
1;Hombre;0.5;125.0;4.0;No;No;No;No;No;Si;No;No;13.54536333;-88.434485;502;0.00;Si;Si;No;Si;Si;Si;0.396;2.3
