Sexo productor,Área (Ha),Edad promedio plantas,Densidad (plantas/Ha),Tipo suelo,Latitud,Longitud,Altura,Porcentaje injertación,Aplica poda,Maneja sombra,Fertilización orgánica,Fertilización química,Presencia de plagas/ enfermedades,Recibe AT,Perdidas (qq),Produccion efectiva (qq)
Hombre,1,5,714.29,"Latosoles Arcillo Rojizos, Aluviales",13.597725,-88.605011,16.472229,100,1,1,Si,Si,0,1,0.69872,4.76
Hombre,0.76,5.1,681.58,Latosoles Arcillo Rojizos,13.773555,-89.94009,331.276733,0,1,1,Si,Si,1,0,0.176,1.0032
Hombre,0.38,5,739.47,"Latosoles Arcillo Rojizos, Andisoles",13.808194,-90.01315,700,0,0,1,Si,Si,0,0,0.1892,0.9988
Hombre,4.03,4,694.79,"Latosoles Arcillo Rojizos, Andisoles",13.825891,-89.85355,955.314941,0,1,1,Si,Si,0,0,0.72776,5.1764
Hombre,0.33,6,802.86,Andisoles,13.750092,-89.723864,360.439087,0,1,1,Si,Si,0,0,0.29744,1.47224
Hombre,0.57,6,894.74,"Latosoles Arcillo Rojizos, Aluviales, Litosoles",13.654829,-89.708064,140.650208,0,1,1,Si,Si,0,0,3.00432,4.77488
Hombre,0.79,5,922.78,"Latosoles Arcillo Rojizos, Grumosoles, Regosoles y",13.631183,-89.865572,12,0,0,1,Si,Si,0,0,0.24552,1.73392
Hombre,7.55,3.1,291.39,"Latosoles Arcillo Rojizos, Litosoles, Aluviales",13.709582,-89.662991,465,0,1,1,Si,Si,1,1,2.9348,12.31
Hombre,3.51,5,696.87,"Andisoles, Litosoles",13.760388,-89.680537,473.776855,0,1,0,Si,Si,1,0,3.54992,11.47432
Hombre,0.22,4,1136.36,Latosoles Arcillo Rojizos,13.866189,-88.152657,384,0,1,1,Si,No,0,1,0.15488,0.414
Hombre,4.2,5.4,666.67,Andisoles,13.692394,-89.469938,745,0,1,0,No,Si,0,1,1.47312,7.13152
Hombre,1.8,5,1111.11,Latosoles Arcillo Rojizos,13.93983,-88.181137,774,0,1,1,Si,No,0,0,2.25368,14.696
Hombre,1.01,4,1188.12,Latosoles Arcillo Rojizos,13.51787,-88.209711,158,100,1,1,Si,Si,0,1,1.71776,9.45
Hombre,0.7,5,547.14,"Latosoles Arcillo Rojizos, Andisoles",13.913764,-89.818643,700,100,1,1,Si,Si,0,0,0.03696,0.3168
Hombre,5.6,6.2,571.43,"Latosoles Arcillo Rojizos, Andisoles",13.505293,-88.554866,812,14.1,1,0,Si,No,0,1,0.18744,8.45
Mujer,0.6,4,1000,"Latosoles Arcillo Rojizos, Andisoles",13.75924,-89.77388,489,0,1,1,Si,Si,0,0,0.1276,0.8536
Hombre,2.2,4,886.36,"Andisoles, Litosoles",13.477466,-88.563325,759.198853,0,1,1,Si,Si,1,1,0.3476,1.79608
Mujer,0.22,6,1024,"Latosoles Arcillo Rojizos, Aluviales, Litosoles",13.651876,-89.756647,115,0,1,1,Si,Si,0,0,0.64856,3.67928
Hombre,14,3.2,454.99,"Latosoles Arcillo Rojizos, Aluviales",13.554807,-88.620482,41.938538,41.6,1,1,Si,Si,0,1,4.4176,22.23408
Hombre,0.3,5,1000,Andisoles,13.487173,-88.380892,654.955078,0,1,1,Si,Si,0,1,0.2156,1.15
Hombre,8,3,1000,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.637572,-89.382179,1099.12765,100,1,1,Si,Si,0,0,0.704,0.77
Hombre,3.64,4.2,1063,Latosoles Arcillo Rojizos,13.748683,-89.870147,330.324158,0,0,1,Si,Si,1,0,0.2376,1.54528
Hombre,0.7,4.5,571.43,Andisoles,13.502399,-88.437816,787,50,1,1,Si,Si,0,1,0.05896,1.55
Hombre,0.84,4,833.33,"Litosoles, Andisoles",13.51172,-89.35612,1118,0,1,1,Si,Si,0,0,0.11616,0.3344
Hombre,0.7,5,857.14,"Latosoles Arcillo Rojizos, Andisoles",13.523764,-88.431589,575.38623,5,1,1,No,Si,0,1,0.9284,5.15
Hombre,0.21,5,1190.48,"Andisoles, Litosoles",13.490583,-88.408684,718.498657,0,1,1,No,No,0,1,0.4884,2.7
Hombre,0.96,4,833.33,"Litosoles, Andisoles",13.88207,-89.5656538,979,0,1,0,Si,Si,0,0,0.19272,0.55088
Hombre,5,4.9,720,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.756336,-88.213509,1142,4.2,1,1,Si,Si,0,1,1.99144,11.55
Hombre,1.43,4.8,699.3,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.260368,-88.25034,650.656494,20,1,1,Si,Si,0,1,1.14928,5.17
Mujer,0.48,5,633.33,"Latosoles Arcillo Rojizos, Andisoles",13.617013,-89.354701,879.858643,0,1,1,Si,Si,0,0,0.7128,1.1748
Hombre,0.49,4,500,"Latosoles Arcillo Rojizos, Aluviales, Grumosoles",13.623107,-89.750779,90.738281,0,1,1,Si,Si,0,0,0.78496,4.30672
Hombre,2.1,5,619.05,"Andisoles, Litosoles",13.600173,-88.876348,963.372314,0,0,1,Si,Si,0,0,0.60632,3.96
Hombre,0.09,4.5,1111.11,"Andisoles, Litosoles",13.408823,-88.209919,141.72583,50,1,1,Si,Si,0,1,0.09504,0.48
Hombre,9.8,5.7,214.29,Aluviales,13.724664,-89.67556,357,71.4,1,1,Si,No,1,1,6.68008,27.33
Hombre,0.45,4,888.89,"Latosoles Arcillo Rojizos, Grumosoles",13.722441,-88.228653,945.350343,0,1,1,Si,Si,0,1,0.76472,2.816
Hombre,0.7,5,857.14,"Latosoles Arcillo Rojizos, Andisoles",13.518256,-88.378569,455.69574,0,1,1,No,Si,0,1,0.6512,3.55
Hombre,1.4,3,934.29,Grumosoles,13.592303,-89.460572,560,0,1,1,Si,Si,0,0,3.85528,14.32816
Hombre,1.79,6,543.58,"Latosoles Arcillo Rojizos, Andisoles",13.679755,-89.539561,570.179565,0,1,0,Si,No,0,0,0.18744,0.81136
Hombre,4,5,1075,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.477734,-89.193186,28.170532,0,1,1,Si,Si,0,0,0.2244,0.6072
Hombre,2.54,5,299.21,"Latosoles Arcillo Rojizos, Grumosoles",13.709726,-89.844791,180.112061,0,0,1,Si,Si,1,0,0.26928,1.32
Mujer,0.25,5,400,"Latosoles Arcillo Rojizos, Grumosoles",13.742342,-88.158681,847.91813,0,1,0,Si,Si,0,1,0.05544,0.264
Mujer,0.34,6,1008.82,Andisoles,13.787449,-89.707633,592.327515,0,1,1,Si,Si,0,0,0.10472,0.94408
Hombre,0.45,6,1111.11,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.791181,-88.144387,865,0,1,1,Si,No,0,1,0.96976,4.344
Hombre,2.8,5.1,535.71,Andisoles,13.612313,-88.924134,663,20,0,0,Si,No,0,1,0.22792,1.35
Hombre,3.84,5.1,920.83,Andisoles,13.794843,-89.810735,681.235107,0,1,0,Si,Si,0,0,0.3432,1.57336
Mujer,0.28,4,468.57,Andisoles,13.771546,-89.711713,500,0,1,0,Si,No,0,0,0.05368,0.4884
Hombre,0.35,4,1000,"Latosoles Arcillosos Acidos, Latosoles Arcillo Rojizos",13.451801,-88.361889,644.259295,0,1,1,Si,Si,0,1,0.7876,3.9
Hombre,0.77,5,1009.09,"Andisoles, Litosoles",13.480453,-88.5546,923.788818,0,1,1,Si,Si,1,1,0.48928,2.58104
Hombre,1.75,4,628.57,Andisoles,13.80113,-89.862576,623.312674,0,1,0,Si,Si,0,0,0.32296,2.23312
Hombre,0.42,5,857.14,"Latosoles Arcillo Rojizos, Aluviales",13.632516,-89.62683,232,0,1,0,Si,Si,1,0,0.45144,1.92456
Hombre,12,4,416.67,"Latosoles Arcillo Rojizos, Andisoles",13.696588,-89.536453,704.344692,0,1,0,Si,Si,1,0,1.37456,5.91008
Hombre,2.52,3.6,396.83,"Latosoles Arcillo Rojizos, Andisoles, Litosoles",13.24514,-88.31068,343,80,1,1,Si,Si,0,1,0.22088,4.28
Hombre,0.42,5,428.57,Latosoles Arcillo Rojizos,13.55708,-89.610238,39,0,1,1,Si,Si,0,0,0.16456,0.92488
Hombre,2.45,4,1102.04,"Latosoles Arcillo Rojizos, Andisoles",13.79403,-89.835282,599.124078,0,0,1,Si,Si,0,0,0.19272,1.13168
Hombre,3.69,4,478.59,"Aluviales, Andisoles",13.687537,-89.438718,905.092163,0,1,1,Si,Si,0,1,1.36752,6.50232
Hombre,0.86,5,823.26,Andisoles,13.814224,-89.869947,749.749268,0,1,0,Si,Si,0,0,0.2772,0.83608
Mujer,0.45,6,1111.11,"Latosoles Arcillo Rojizos, Grumosoles",13.723462,-89.756569,287.94104,0,1,1,Si,Si,0,0,0.20944,1.29624
Hombre,31.1,5.4,546.62,Aluviales,13.704211,-89.667368,320,41.2,1,1,Si,Si,1,1,9.636,38.76
Hombre,0.7,6,1035.71,Latosoles Arcillo Rojizos,13.617427,-89.573842,398,0,1,0,Si,Si,1,0,0.2332,0.92752
Hombre,0.76,6,397.37,Andisoles,13.789167,-89.706919,626.213867,0,1,0,No,Si,0,0,0.17952,1.06928
Mujer,1.7,3.7,1000,Latosoles Arcillo Rojizos,13.794167,-88.170833,805,29.4,1,1,Si,Si,0,1,3.37304,24.354
