Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
Hombre;2.8;1800;6;No;Si;No;No;No;Si;Si;No;13.414661;-88.505631;379;0;Si;Si;Si;Si;Si;Si;0.19008;8.83
Hombre;4.2;2000;7;No;Si;No;No;No;Si;No;No;13.455366;-88.559089;620.978271;0;No;Si;Si;Si;Si;No;0.24376;4.82
Hombre;1.7;1700;5;Si;Si;No;No;No;Si;No;No;13.702324;-89.710528;213.509888;0;Si;Si;Si;Si;Si;No;1.39304;6.86048
Hombre;1.4;1000;5;Si;No;No;No;No;Si;No;No;13.597725;-88.605011;16.472229;100;Si;Si;Si;Si;Si;Si;0.69872;4.76
Hombre;4.03;2800;3.5;No;Si;No;No;No;Si;No;No;13.825891;-89.85355;955.314941;0;Si;Si;Si;Si;Si;No;0.72776;5.1764
Hombre;5;5000;5.6;Si;No;No;No;No;Si;Si;No;13.709582;-89.662991;465;44;Si;Si;Si;Si;No;Si;2.9348;12.31
Hombre;3.51;2446;5;No;Si;No;No;No;No;Si;No;13.760388;-89.680537;473.776855;0;Si;No;Si;Si;No;No;3.54992;11.47432
Hombre;4.2;2800;5.4;No;Si;No;No;No;No;No;No;13.692394;-89.469938;745;0;Si;No;No;Si;Si;Si;1.47312;7.13152
Hombre;1.8;2000;5;No;No;No;No;No;Si;No;No;13.93983;-88.181137;774;0;Si;Si;Si;No;Si;No;2.25368;14.696
Hombre;1.01;1200;4;No;No;No;No;No;Si;No;No;13.51787;-88.209711;158;100;Si;Si;Si;Si;Si;Si;1.71776;9.45
Hombre;5.6;3200;6.2;No;Si;No;No;No;Si;No;No;13.505293;-88.554866;812;14.0625;Si;No;Si;No;Si;Si;0.18744;8.45
Hombre;2.2;1950;3;No;Si;No;No;No;No;Si;No;13.477466;-88.563325;759.198853;0;Si;Si;Si;Si;No;Si;0.3476;1.79608
Hombre;30.77;26000;3.2;Si;No;No;No;No;Si;No;No;13.554807;-88.620482;41.938538;68.55769231;Si;Si;Si;Si;Si;Si;4.4176;22.23408
Hombre;8;8000;3;No;No;No;No;Si;Si;No;No;13.637572;-89.382179;1099.12765;100;Si;Si;Si;Si;Si;No;0.704;0.77
Hombre;4;4252;4.2;No;No;No;No;No;Si;No;No;13.748683;-89.870147;330.324158;0;No;Si;Si;Si;No;No;0.2376;1.54528
Hombre;5;3600;4.9;No;No;No;No;Si;Si;No;No;13.756336;-88.213509;1142;4.166666667;Si;Si;Si;Si;Si;Si;1.99144;11.55
Hombre;1.43;1000;4.8;No;No;No;No;Si;Si;No;No;13.260368;-88.25034;650.656494;20;Si;Si;Si;Si;Si;Si;1.14928;5.17
Hombre;2.1;1300;5;No;Si;No;No;No;No;Si;No;13.600173;-88.876348;963.372314;0;No;Si;Si;Si;Si;No;0.60632;3.96
Hombre;9.8;2100;5;Si;No;No;No;No;No;No;No;13.724664;-89.67556;357;71.42857143;Si;Si;Si;No;No;Si;6.68008;27.33
Hombre;1.75;1635;3;No;No;Si;No;No;No;No;No;13.592303;-89.460572;560;0;Si;Si;Si;Si;Si;No;3.85528;14.32816
Hombre;1.79;973;6;No;Si;No;No;No;Si;No;No;13.679755;-89.539561;570.179565;0;Si;No;Si;No;Si;No;0.18744;0.81136
Hombre;4;4300;5;No;No;No;No;Si;Si;No;No;13.477734;-89.193186;28.170532;0;Si;Si;Si;Si;Si;No;0.2244;0.6072
Hombre;2.54;760;4;No;No;Si;No;No;Si;No;No;13.709726;-89.844791;180.112061;0;No;Si;Si;Si;No;No;0.26928;1.32
Hombre;2.8;1500;5.1;No;Si;No;No;No;No;No;No;13.612313;-88.924134;663;20;No;No;Si;No;Si;Si;0.22792;1.35
Hombre;3.84;3536;4.6;No;Si;No;No;No;No;No;No;13.794843;-89.810735;681.235107;0;Si;No;Si;Si;Si;No;0.3432;1.57336
Hombre;1.49;1400;4.1;No;Si;No;No;No;Si;No;No;13.6291;-88.3579;254.689;1.785714286;Si;Si;No;Si;Si;Si;0.5016;2.8
Hombre;1.75;1100;4;No;Si;No;No;No;No;No;No;13.80113;-89.862576;623.312674;0;Si;No;Si;Si;Si;No;0.32296;2.23312
Hombre;2;1500;3.9;No;Si;No;No;No;No;No;No;13.5075;-88.3404;716.583;6.666666667;Si;No;No;Si;Si;Si;2.3232;11.64
Hombre;12;5000;4;No;Si;No;No;No;Si;No;No;13.696588;-89.536453;704.344692;0;Si;No;Si;Si;No;No;1.37456;5.91008
Hombre;2.52;1000;3.6;No;Si;No;No;No;Si;Si;No;13.24514;-88.31068;343;80;Si;Si;Si;Si;Si;Si;0.22088;4.28
Hombre;2.45;2700;4;No;Si;No;No;No;Si;No;No;13.79403;-89.835282;599.124078;0;No;Si;Si;Si;Si;No;0.19272;1.13168
Hombre;3.69;1766;4;Si;Si;No;No;No;No;No;No;13.687537;-89.438718;905.092163;0;Si;Si;Si;Si;Si;Si;1.36752;6.50232
