Fecha;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;0;0.4;300;5;0;1;0;0;0;0;0;0;13.2842;-88.2431;225;0;1;1;0;0;1;1;0.34936;1.97
1;0;0.2;150;4;0;1;0;0;0;0;1;0;13.5007183;-88.39713;629;0;1;1;0;0;1;1;0.8316;4.5
1;0;0.12;125;7;0;1;0;0;0;0;0;0;13.697574;-89.462228;645;0;1;0;0;1;1;1;0.13992;0.76384
1;1;1.5;400;5;0;0;0;0;0;1;0;0;13.8880791;-88.959215;379;0;1;1;1;1;1;0;0.6116;0.8624
1;1;2.5;400;6;0;0;0;0;1;1;0;0;13.505021;-88.32357;729;0;1;1;1;1;0;1;0.45936;2.31
1;0;1.5;80;6;0;1;0;0;0;0;0;0;13.6048378;-88.92514;666;0;1;1;1;0;1;1;0.22352;1.14
1;0;0.35;200;6;0;1;0;0;0;1;0;0;13.8726285;-89.172373;443;100;1;1;1;1;1;0;0.1496;0.35904
1;0;3.5;1433;8;0;1;0;0;0;0;0;0;13.8999875;-89.856238;887;0;1;1;1;1;1;0;4.97904;23.21968
1;0;4.19;5150;5.6;1;0;0;1;0;0;0;1;13.3342009;-88.7724;9;38.83;1;1;1;1;1;1;1.22056;10.9
1;1;0.7;300;3;0;1;0;0;0;0;0;0;13.7978;-89.1142;584;0;1;1;1;1;1;0;0.4532;0.8932
1;0;1.85;2025;4;0;0;0;0;1;1;0;0;13.9016608;-89.542454;997;100;1;0;1;1;1;0;4.5056;12.8744
1;1;0.5;100;12;0;1;0;0;0;1;1;0;13.4272337;-88.506738;444;0;1;0;1;0;1;1;0.08272;1.01
1;0;1.5;1600;9;1;0;0;0;0;0;0;0;13.730753;-89.667272;380;0;1;1;1;0;0;1;2.66112;11.37
1;0;5.24;5437;5.8;1;0;0;1;0;0;0;1;13.3528614;-88.735018;16;18.39;1;1;1;1;1;0;1.81016;21.1
1;0;0.35;250;6;0;0;0;0;1;1;0;0;13.8970446;-88.964616;346;0;1;1;1;1;1;0;0.8492;1.4564
1;1;0.35;150;11;0;1;0;0;0;0;0;0;13.618069;-89.232421;790;0;1;1;1;1;1;0;0.616;1.122
1;1;1.4;1500;6;0;1;0;0;0;0;1;0;13.6231117;-88.860226;847;0;0;1;1;1;0;0;0.87296;5.41
1;0;0.26;250;6;0;0;0;0;0;1;0;0;13.796305;-88.1678;734;0;1;1;1;0;1;1;0.5544;1.666
1;0;0.35;200;5;0;1;0;0;0;0;0;0;13.527995;-88.448691;569;0;1;1;0;1;1;1;0.0352;0.165
1;0;0.5;125;4;0;1;0;0;0;0;1;0;13.4754002;-88.391273;647;0;0;0;0;0;1;1;0.63712;3.45
1;0;0.7;400;9;0;0;0;0;1;1;0;0;13.747739;-88.19778;847;0;1;1;1;1;1;1;0.10208;0.33
1;0;2;600;5;0;1;0;0;0;0;0;0;13.468018;-88.879255;71;0;1;1;1;1;1;1;1.41856;8.55
1;0;0.15;50;4;0;1;0;0;0;1;0;0;13.5321235;-88.429579;537;0;1;1;0;1;1;1;0.5808;3.2
1;1;0.35;200;5;0;1;0;0;0;0;0;0;13.527761;-88.448281;573;0;1;1;0;1;1;1;0.18568;1.0252
1;0;0.4;400;8;1;0;0;1;0;0;0;1;13.280707;-88.749472;10;0;1;1;1;1;0;1;0.63888;3.35
1;0;2.5;1500;5;0;1;0;0;0;0;0;0;13.5196594;-88.821027;267;0;1;1;1;1;1;1;1.24256;10.85
1;0;0.72;800;5;0;0;0;0;1;1;0;0;13.34170833;-88.61497333;28;0;1;1;1;0;0;1;0.87296;4.49
1;0;4;3950;5.7;1;0;0;1;0;0;0;1;13.348937;-88.735581;10;15.82;1;1;1;1;1;0;1.1616;14.25
1;1;0.35;400;5;0;1;0;0;0;0;1;0;13.7071155;-88.933568;787;0;1;1;0;1;0;1;0.18744;1.32
1;0;1.75;1700;4;0;1;0;0;0;1;0;0;13.931565;-89.568684;857;0;1;1;1;1;1;0;3.2516;9.29808
1;0;2.5;2350;26.4;0;1;0;0;0;0;0;0;13.61681;-88.91105333;716;0;1;1;1;1;1;1;0.45672;17.23
1;0;0.7;300;6;0;1;0;0;0;0;0;0;13.510797;-88.435995;685;0;1;1;1;1;1;1;0.06072;1.06
1;0;0.09;100;5;0;1;0;0;0;0;0;0;13.3888924;-88.416754;209;0;1;1;0;0;1;1;0.5544;3.15
1;0;1;400;5.3;0;1;0;0;0;1;1;0;13.349751;-88.47627;135;37.5;0;1;1;0;1;1;0.13024;1.7
1;0;2.5;2600;10;1;1;0;0;0;1;0;0;13.7047462;-89.714227;212;100;1;1;1;1;1;0;4.99488;26.80832
1;1;1.2;1000;32;0;1;0;0;0;0;1;0;13.62882;-88.873072;678;0;1;1;1;0;1;1;1.32352;8.38464
1;1;0.5;35;19;0;0;0;0;1;1;0;0;13.6223679;-89.019296;766;0;1;1;1;1;1;1;0.14432;1.33
1;0;1;800;9;0;0;0;0;1;1;0;0;13.9323375;-88.086314;837;0;1;1;1;1;1;1;1.13168;6.808
1;0;0.7;600;5;0;0;0;0;1;1;0;0;13.7873058;-89.074704;612;0;1;1;1;1;1;0;0.704;1.3772
1;0;0.35;200;5;0;0;0;0;1;1;0;0;13.7945466;-89.071401;646;0;1;1;1;1;1;0;0.9856;1.1132
1;0;1;800;6.5;0;1;0;0;0;0;0;0;13.6625233;-88.963976;512;50;1;1;1;1;1;1;0.26752;2.3
1;0;2.5;2100;3;0;1;0;0;0;1;0;0;13.9662051;-89.668249;765;0;1;1;1;1;1;0;2.55464;7.30136
1;1;1;1000;4;0;1;0;0;0;0;1;0;13.7928785;-88.950008;581;0;1;1;1;1;1;1;0.45848;3.58
1;1;1.05;300;18;0;0;0;0;1;1;0;0;13.3916;-88.5836;771;0;1;0;1;0;1;1;0.22;2.43
1;0;0.7;500;5;0;0;0;0;1;1;0;0;13.7577755;-88.199316;981;0;1;1;1;1;1;1;0.15752;0.66
1;1;0.7;400;5;0;0;0;0;0;1;0;0;13.875589;-89.958017;1026;0;1;1;1;1;1;0;0.55;0.5896
1;0;0.7;350;11.9;0;0;0;0;1;1;0;0;13.376;-89.021;891;0;1;1;1;0;1;1;0.29832;5.323334
1;0;1;800;6;1;1;0;1;0;0;0;1;13.296757;-88.55199;27;0;1;1;1;0;0;1;0.86944;4.63
1;0;1;1000;7;0;1;0;0;0;0;1;0;13.75886;-89.654032;497;0;1;0;1;1;0;1;1.81984;5.7288
1;0;0.35;350;10;0;1;0;0;0;0;1;0;13.394;-88.5842;728.2;0;1;1;1;0;1;1;0.17864;2.21
1;0;3;3000;8;1;1;0;0;0;0;0;0;13.73392;-89.680593;380;50;1;1;1;0;0;1;15.16328;46.64
1;1;5;1000;4;0;1;0;0;0;0;0;0;13.4685917;-88.380413;507;0;0;0;1;1;1;1;0.81576;4.45
1;0;1.05;600;13.5;0;1;0;0;0;0;0;0;13.3724;-89.032;918.8;0;1;1;1;0;1;1;0.35992;5.42
1;0;0.35;300;4;0;0;0;0;0;1;1;0;13.8569683;-88.952133;603;0;1;1;1;1;0;0;0.704;1.1836
1;0;0.5;600;6.5;1;0;0;1;0;0;0;1;13.3017209;-88.75601;6;0;1;1;1;0;0;1;0.31504;2.05
1;0;0.5;200;6;0;1;0;0;0;0;0;0;13.4808403;-88.35483;909;0;1;0;0;1;1;1;0.30008;1.49
1;1;4.19;4350;5.9;1;0;0;1;0;0;0;1;13.351173;-88.731821;7;8.05;1;1;1;1;1;0;1.32264;17.43
1;1;1.4;600;16;0;1;0;0;0;0;1;0;13.756859;-89.594405;596;0;1;1;1;1;0;0;1.47312;4.70624
1;0;0.5;400;4.8;0;0;0;0;1;1;0;0;13.66615821;-88.78389016;623;25;1;1;1;1;1;1;0.29832;1.9
1;1;0.2;150;14;0;1;0;0;0;1;0;0;13.5311716;-88.408954;509;0;0;1;0;1;1;1;0.34672;1.81
1;1;0.05;50;6;0;0;0;0;0;1;0;0;13.8070785;-88.174595;752;0;1;1;1;0;1;1;0.06072;0.5236
1;1;1;800;4;0;1;0;0;0;0;1;0;13.7018079;-88.953556;670;0;1;1;0;1;1;1;0.23936;1.9
1;0;1;800;4;0;0;0;0;0;1;0;0;13.9169308;-89.517694;816;0;1;1;1;1;1;1;0.94424;2.69984
1;0;0.7;400;4;0;0;0;0;1;1;0;0;13.8883689;-88.957423;391;0;1;1;1;1;1;0;0.8096;1.078
1;0;1.4;850;5;0;0;0;0;0;1;0;0;13.856;-89.471;595;0;1;1;1;1;1;0;0.946;1.3728
1;0;0.2;200;7;0;0;0;0;1;1;0;0;13.7775619;-88.160689;916;0;1;1;1;1;1;1;0.19184;1
1;0;1.05;1100;6;0;1;0;0;0;0;0;0;13.7715296;-89.081254;655;0;1;1;1;1;1;0;1.7732;6.1248
1;0;1.4;500;5;0;0;0;0;1;1;0;0;13.8881281;-88.963857;369;0;1;1;1;1;1;0;0.3608;1.0252
1;0;2.1;2500;4;0;1;0;0;0;0;1;0;13.6235499;-88.875549;705;0;1;1;1;1;1;1;0.60808;4.62
1;0;1.4;500;6;0;1;0;0;0;0;0;0;13.788365;-89.1105;605;0;1;1;1;1;1;0;1.3948;3.05448
1;0;0.7;500;6;0;0;0;0;0;1;0;0;13.7972304;-88.184138;1053;0;1;1;1;0;1;1;0.9064;3.376
1;0;0.5;500;11;0;0;0;0;0;1;0;0;13.927612;-88.642694;602;0;0;1;0;1;1;1;0.26752;2.01
1;0;0.35;180;5;0;0;0;0;1;1;0;0;13.3055;-88.1859;41;0;1;0;0;1;1;1;0.02992;0.15
1;0;0.1;115;6;0;0;0;0;0;1;0;0;13.8068175;-88.172954;764;0;1;1;1;1;1;1;0.0264;0.088
1;0;0.7;300;4;0;0;0;0;0;1;0;0;13.91143333;-89.074705;693.3;0;1;0;1;1;1;0;0.374;0.55
1;0;1.4;250;2;1;0;1;0;0;1;0;0;14.0160221;-89.192502;273;0;1;1;1;1;1;0;0.946;2.3584
